Time (s);Gyroscope X (deg/s);Gyroscope Y (deg/s);Gyroscope Z (deg/s);Accelerometer X (g);Accelerometer Y (g);Accelerometer Z (g);Magnetometer X (uT);Magnetometer Y (uT);Magnetometer Z (uT);Barometer (hPa)
1,438171387;0,0303751;-0,03399286;-0,2116812;-0,9153325;0,3316953;-0,1780139;45,29882;9,373024;8,899981;1006,257
1,458427429;0,09213255;-0,03392614;0,09421677;-0,9148491;0,3355672;-0,177984;45,28899;9,371409;8,520373;1006,261
1,478683472;0,03000926;0,02546952;0,1550727;-0,9167436;0,3346032;-0,1741169;45,28899;9,371409;8,520373;1006,261
1,498939514;-0,1554895;0,02551731;0,2768684;-0,9152295;0,3389653;-0,1692739;45,28899;9,371409;8,520373;1006,259
1,519194603;-0,3405615;0,2034033;0,09295335;-0,914283;0,3307354;-0,1717681;45,97267;9,733437;8,882913;1006,259
1,539446354;-0,5869249;0,202725;0,5812489;-0,9143384;0,3234701;-0,1766528;45,97267;9,733437;8,882913;1006,261
1,559702397;-0,5236953;0,2613029;0,8240252;-0,9153689;0,3326597;-0,1808966;45,60503;9,369506;8,893438;1006,261
1,579957962;-0,6461257;0,1421191;0,8218797;-0,9182284;0,3210482;-0,1771155;45,60503;9,369506;8,893438;1006,259
1,600213528;-0,7679768;0,3196751;1,614019;-0,9165514;0,3021947;-0,1604346;45,60503;9,369506;8,893438;1006,259
1,617937565;-1,5081;0,7934752;2,526783;-0,9213983;0,295418;-0,1599625;45,29882;9,373024;8,899981;1006,259
1,638193607;-0,8241235;0,613533;3,680871;-0,9172297;0,3152434;-0,1752506;45,29882;9,373024;8,899981;1006,259
1,658448696;-0,08059397;0,01907424;3,671093;-0,9019858;0,355391;-0,1972199;45,61649;9,371389;9,336315;1006,259
1,678704739;0,3521917;-0,1588864;3,478445;-0,8949475;0,355417;-0,1780154;45,61649;9,371389;9,336315;1006,259
1,698960781;0,4129276;-0,5143876;2,981049;-0,91641;0,3640642;-0,2239792;45,61649;9,371389;9,336315;1006,259
1,71921587;-0,7624835;-0,5726676;2,790039;-0,8990783;0,3365158;-0,1988671;45,31013;9,068113;9,345087;1006,259
1,739555836;-0,3895476;-1,28344;3,027289;-0,9039815;0,3742608;-0,2004021;45,31013;9,068113;9,345087;1006,259
1,759811878;2,2723;-2,289633;2,652961;-0,9118;0,3592971;-0,1657528;45,6045;8,326406;8,901016;1006,259
1,780067921;3,690734;-2,106662;2,279899;-0,9151385;0,3665617;-0,1603501;45,6045;8,326406;8,901016;1006,259
1,80032301;5,10312;-1,686106;1,296888;-0,9161517;0,3724128;-0,1241389;45,6045;8,326406;8,901016;1006,259
1,818047047;3,679604;0,03551903;0,929987;-0,9234285;0,368055;-0,1236193;45,96232;8,688723;8,510881;1006,262
1,838303089;2,751223;1,104114;0,7465367;-0,9136411;0,3545141;-0,1185435;45,96232;8,688723;8,510881;1006,262
1,858558655;1,203923;2,053977;0,5630865;-0,9035335;0,3931805;-0,1631244;45,66612;9,062008;8,894359;1006,258
1,87881422;0,8325708;1,99461;-1,210266;-0,8860487;0,4279867;-0,2005887;45,66612;9,062008;8,894359;1006,258
1,899070263;1,265815;1,163481;-4,451221;-0,8665478;0,4695768;-0,2317474;45,66612;9,062008;8,894359;1006,257
1,919325829;1,946627;-0,02384736;-7,692176;-0,8700182;0,4177816;-0,240372;45,67721;8,327586;9,342585;1006,257
1,939578056;1,699059;-1,033076;-9,71013;-0,89036;0,3916441;-0,2370189;45,67721;8,327586;9,342585;1006,255
1,959833145;0,5231107;-1,448641;-10,44393;-0,9062502;0,3563679;-0,1884905;45,30994;8,699961;9,347762;1006,255
1,980089188;-0,6528377;-1,092443;-10,62738;-0,911077;0,341413;-0,1476071;45,30994;8,699961;9,347762;1006,252
2,00034523;-0,9622978;-0,4394122;-10,81083;-0,9167395;0,3433631;-0,1340344;45,30994;8,699961;9,347762;1006,252
2,018068314;-0,4671616;-0,2019466;-11,23888;-0,9265434;0,3443185;-0,1411516;45,96251;9,056875;8,508207;1006,25
2,038324356;0,3374346;0,332351;-11,42233;-0,9339651;0,3230068;-0,1533147;45,96251;9,056875;8,508207;1006,25
2,058580399;0,5850027;0,5104502;-10,68853;-0,9355075;0,2857306;-0,1623105;45,28918;9,739562;8,517699;1006,25
2,078835964;-0,03391751;0,8072822;-9,648979;-0,9283569;0,2818481;-0,1735066;45,28918;9,739562;8,517699;1006,25
2,09909153;-0,4052696;0,8072822;-8,548278;-0,9285501;0,2755372;-0,1894665;45,28918;9,739562;8,517699;1006,251
2,119347572;-0,2195936;0,629183;-7,753326;-0,9208393;0,286666;-0,1937853;45,65682;10,10349;8,507173;1006,251
2,139599323;0,08986653;0,2729846;-7,141825;-0,9242478;0,2813399;-0,1947613;45,65682;10,10349;8,507173;1006,247
2,159854412;0,3993267;-0,02384736;-6,163424;-0,9315093;0,2711758;-0,1933303;45,29938;10,47748;8,891958;1006,247
2,180110455;0,7087868;-1,389274;-3,83972;-0,9254743;0,1744001;-0,1822191;45,29938;10,47748;8,891958;1006,246
2,197834492;1,018247;-0,4394122;-1,760617;-0,9442295;0,3129281;-0,08051978;45,29938;10,47748;8,891958;1006,246
